T° Extérieure;H% Extérieure;Dew Point;Ressentie;Vent;Rafale;Pression R;Luminosité;UVI;Pluie Heure;Pluie Jour;Semaine;Pluie mois;Pluie Année;Pm2.5;;;
11.1;82;8.1;11.1;8.6;12.2;1018.5;0;0;0;0;0;0;0;10.4;10.6;00:00;20250102
11.1;82;8.1;11.1;6.5;7.6;1018.4;0;0;0;0;0;0;0;10.4;10.6;00:01;
11.1;82;8.1;11.1;7.2;7.2;1018.6;0;0;0;0;0;0;0;10.4;10.6;00:02;
11.1;82;8.1;11.1;9.4;11.5;1018.4;0;0;0;0;0;0;0;10.4;10.6;00:03;
11.1;82;8.1;11.1;7.2;10.4;1018.4;0;0;0;0;0;0;0;10.4;10.6;00:04;
11.1;83;8.3;11.1;4;9;1018.4;0;0;0;0;0;0;0;10.4;10.6;00:05;
11.1;83;8.3;11.1;6.8;10.4;1018.4;0;0;0;0;0;0;0;10.3;10.5;00:06;
11.1;83;8.3;11.1;0;6.5;1018.2;0;0;0;0;0;0;0;10.3;10.5;00:07;
11;83;8.2;11;9.7;9.7;1018.2;0;0;0;0;0;0;0;10.3;10.5;00:08;
11.1;83;8.3;11.1;9.7;9.7;1018.5;0;0;0;0;0;0;0;10.3;10.5;00:09;
11.1;83;8.3;11.1;3.6;5.4;1018.1;0;0;0;0;0;0;0;10.3;10.5;00:10;
11.1;83;8.3;11.1;5;6.5;1018.4;0;0;0;0;0;0;0;10.3;10.5;00:11;
11.1;83;8.3;11.1;7.9;10.4;1018.4;0;0;0;0;0;0;0;10.3;10.5;00:12;
11.1;83;8.3;11.1;6.8;8.6;1018.2;0;0;0;0;0;0;0;10.3;10.4;00:13;
11.1;83;8.3;11.1;10.1;11.2;1018.3;0;0;0;0;0;0;0;10.3;10.5;00:14;
11.1;83;8.3;11.1;4;8.3;1018.4;0;0;0;0;0;0;0;10.3;10.4;00:15;
11;83;8.2;11;6.5;9.7;1018.2;0;0;0;0;0;0;0;10.2;10.4;00:16;
11;83;8.2;11;2.2;7.2;1018.4;0;0;0;0;0;0;0;10.3;10.4;00:17;
11;83;8.2;11;8.6;9;1018.3;0;0;0;0;0;0;0;10.2;10.4;00:18;
11;83;8.2;11;9;9;1018.3;0;0;0;0;0;0;0;10.2;10.4;00:19;
11;83;8.2;11;8.6;11.5;1018.3;0;0;0;0;0;0;0;10.2;10.4;00:20;
11;83;8.2;11;4.7;9;1018.4;0;0;0;0;0;0;0;10.2;10.4;00:21;
11.1;83;8.3;11.1;4.3;7.6;1018.2;0;0;0;0;0;0;0;10.2;10.4;00:22;
11.1;83;8.3;11.1;5.4;8.6;1018.6;0;0;0;0;0;0;0;10.2;10.4;00:23;
11.1;83;8.3;11.1;8.6;10.8;1018.3;0;0;0;0;0;0;0;10.3;10.4;00:24;
11.1;83;8.3;11.1;7.6;9.4;1018.3;0;0;0;0;0;0;0;10.2;10.4;00:25;
11.1;83;8.3;11.1;6.1;9;1018.3;0;0;0;0;0;0;0;10.3;10.4;00:26;
11.1;83;8.3;11.1;4.3;7.9;1018.2;0;0;0;0;0;0;0;10.3;10.4;00:27;
11.1;83;8.3;11.1;5;10.4;1018.5;0;0;0;0;0;0;0;10.3;10.4;00:28;
11.1;83;8.3;11.1;9;11.5;1018.3;0;0;0;0;0;0;0;10.3;10.4;00:29;
11.1;83;8.3;11.1;5;8.3;1018.1;0;0;0;0;0;0;0;10.4;10.4;00:30;
11.1;83;8.3;11.1;4.7;12.2;1018.3;0;0;0;0;0;0;0;10.4;10.4;00:31;
11.1;83;8.3;11.1;7.2;9.4;1018.2;0;0;0;0;0;0;0;10.4;10.4;00:32;
11.1;83;8.3;11.1;11.5;12.2;1018.1;0;0;0;0;0;0;0;10.4;10.5;00:33;
11.1;83;8.3;11.1;6.5;10.4;1018.4;0;0;0;0;0;0;0;10.4;10.5;00:34;
11.1;83;8.3;11.1;7.6;9;1018.2;0;0;0;0;0;0;0;10.4;10.5;00:35;
11.1;83;8.3;11.1;4;8.6;1018.2;0;0;0;0;0;0;0;10.4;10.5;00:36;
11.1;83;8.3;11.1;3.6;8.6;1018.3;0;0;0;0;0;0;0;10.4;10.5;00:37;
11.1;83;8.3;11.1;3.6;7.2;1018;0;0;0;0;0;0;0;10.4;10.5;00:38;
11.1;83;8.3;11.1;3.6;9.7;1018.1;0;0;0;0;0;0;0;10.5;10.5;00:39;
11.1;83;8.3;11.1;7.2;8.6;1018.2;0;0;0;0;0;0;0;10.4;10.5;00:40;
11.1;83;8.3;11.1;5.8;9.4;1018.2;0;0;0;0;0;0;0;10.4;10.5;00:41;
11.1;83;8.3;11.1;7.9;9;1018;0;0;0;0;0;0;0;10.5;10.5;00:42;
11.1;83;8.3;11.1;7.9;9.4;1018;0;0;0;0;0;0;0;10.5;10.5;00:43;
11.1;83;8.3;11.1;8.6;9;1018.1;0;0;0;0;0;0;0;10.5;10.6;00:44;
11.1;83;8.3;11.1;8.3;8.3;1018;0;0;0;0;0;0;0;10.5;10.5;00:45;
11.1;83;8.3;11.1;6.5;8.6;1018.1;0;0;0;0;0;0;0;10.5;10.5;00:46;
11.1;83;8.3;11.1;3.2;7.9;1018.1;0;0;0;0;0;0;0;10.5;10.6;00:47;
11.1;83;8.3;11.1;7.6;9;1018.1;0;0;0;0;0;0;0;10.4;10.5;00:48;
11.1;83;8.3;11.1;5.8;7.6;1017.9;0;0;0;0;0;0;0;10.4;10.5;00:49;
11;83;8.2;11;5;10.8;1017.9;0;0;0;0;0;0;0;10.4;10.5;00:50;
11;83;8.2;11;7.2;9.7;1018.1;0;0;0;0;0;0;0;10.4;10.5;00:51;
11;83;8.2;11;6.5;10.4;1017.7;0;0;0;0;0;0;0;10.4;10.5;00:52;
11;83;8.2;11;6.8;8.3;1017.9;0;0;0;0;0;0;0;10.4;10.5;00:53;
11;83;8.2;11;9;9.4;1018;0;0;0;0;0;0;0;10.4;10.5;00:54;
11.1;83;8.3;11.1;6.1;7.6;1017.7;0;0;0;0;0;0;0;10.4;10.5;00:55;
11.1;83;8.3;11.1;5.4;8.3;1017.7;0;0;0;0;0;0;0;10.4;10.5;00:56;
11.1;83;8.3;11.1;5.4;8.6;1018;0;0;0;0;0;0;0;10.4;10.5;00:57;
11.1;83;8.3;11.1;7.6;7.6;1017.9;0;0;0;0;0;0;0;10.4;10.5;00:58;
11.1;83;8.3;11.1;7.2;11.9;1018;0;0;0;0;0;0;0;10.4;10.5;00:59;
11.1;83;8.3;11.1;7.9;7.9;1017.7;0;0;0;0;0;0;0;10.5;10.5;01:00;
11.1;83;8.3;11.1;11.2;12.6;1017.7;0;0;0;0;0;0;0;10.4;10.5;01:01;
11.1;83;8.3;11.1;7.9;9.7;1017.7;0;0;0;0;0;0;0;10.5;10.5;01:02;
11.2;82;8.2;11.2;9;11.5;1017.7;0;0;0;0;0;0;0;10.5;10.5;01:03;
11.2;82;8.2;11.2;5.8;15.5;1017.7;0;0;0;0;0;0;0;10.5;10.6;01:04;
11.2;82;8.2;11.2;4.7;9.4;1017.8;0;0;0;0;0;0;0;10.5;10.6;01:05;
11.2;82;8.2;11.2;6.8;12.2;1017.9;0;0;0;0;0;0;0;10.5;10.6;01:06;
11.2;82;8.2;11.2;4.3;14.8;1017.7;0;0;0;0;0;0;0;10.5;10.6;01:07;
11.2;82;8.2;11.2;7.2;11.9;1017.6;0;0;0;0;0;0;0;10.6;10.6;01:08;
11.2;82;8.2;11.2;5;7.6;1017.5;0;0;0;0;0;0;0;10.6;10.6;01:09;
11.2;82;8.2;11.2;9;10.1;1017.6;0;0;0;0;0;0;0;10.6;10.6;01:10;
11.2;82;8.2;11.2;6.8;8.6;1017.7;0;0;0;0;0;0;0;10.6;10.6;01:11;
11.3;82;8.3;11.3;12.2;15.1;1017.5;0;0;0;0;0;0;0;10.6;10.7;01:12;
11.3;82;8.3;11.3;9.4;11.9;1017.5;0;0;0;0;0;0;0;10.7;10.7;01:13;
11.3;82;8.3;11.3;8.6;13.3;1017.8;0;0;0;0;0;0;0;10.7;10.7;01:14;
11.3;82;8.3;11.3;4;6.5;1017.6;0;0;0;0;0;0;0;10.7;10.7;01:15;
11.3;82;8.3;11.3;5.4;12.2;1017.6;0;0;0;0;0;0;0;10.7;10.7;01:16;
11.3;82;8.3;11.3;3.2;10.4;1017.8;0;0;0;0;0;0;0;10.7;10.7;01:17;
11.2;82;8.2;11.2;7.9;7.9;1017.7;0;0;0;0;0;0;0;10.7;10.8;01:18;
11.2;82;8.2;11.2;8.6;11.2;1017.5;0;0;0;0;0;0;0;10.7;10.8;01:19;
11.2;82;8.2;11.2;7.9;11.2;1017.6;0;0;0;0;0;0;0;10.7;10.8;01:20;
11.3;82;8.3;11.3;6.5;10.1;1017.6;0;0;0;0;0;0;0;10.7;10.7;01:21;
11.3;82;8.3;11.3;7.9;9.7;1017.7;0;0;0;0;0;0;0;10.7;10.8;01:22;
11.3;82;8.3;11.3;7.9;8.3;1017.5;0;0;0;0;0;0;0;10.8;10.8;01:23;
11.3;82;8.3;11.3;2.9;9.7;1017.3;0;0;0;0;0;0;0;10.8;10.8;01:24;
11.3;82;8.3;11.3;5.4;5.4;1017.6;0;0;0;0;0;0;0;10.8;10.8;01:25;
11.3;82;8.3;11.3;0;8.6;1017.6;0;0;0;0;0;0;0;10.8;10.8;01:26;
11.3;82;8.3;11.3;8.6;10.8;1017.4;0;0;0;0;0;0;0;10.8;10.8;01:27;
11.3;82;8.3;11.3;6.8;11.5;1017.4;0;0;0;0;0;0;0;10.8;10.8;01:28;
11.3;82;8.3;11.3;6.1;15.1;1017.5;0;0;0;0;0;0;0;10.8;10.8;01:29;
11.3;82;8.3;11.3;5.4;6.8;1017.5;0;0;0;0;0;0;0;10.8;10.8;01:30;
11.3;82;8.3;11.3;5;9.7;1017.5;0;0;0;0;0;0;0;10.9;10.9;01:31;
11.3;82;8.3;11.3;6.1;11.2;1017.3;0;0;0;0;0;0;0;10.9;10.9;01:32;
11.2;82;8.2;11.2;7.6;7.6;1017.4;0;0;0;0;0;0;0;10.9;10.9;01:33;
11.3;82;8.3;11.3;2.9;10.1;1017.3;0;0;0;0;0;0;0;10.9;10.9;01:34;
11.3;82;8.3;11.3;11.2;20.9;1017.2;0;0;0;0;0;0;0;10.9;10.9;01:35;
11.3;82;8.3;11.3;12.6;17.3;1017.1;0;0;0;0;0;0;0;10.9;10.9;01:36;
11.3;82;8.3;11.3;6.1;11.9;1017.2;0;0;0;0;0;0;0;10.9;10.9;01:37;
11.3;82;8.3;11.3;6.1;8.3;1017.2;0;0;0;0;0;0;0;10.9;11;01:38;
11.3;82;8.3;11.3;7.9;7.9;1017.1;0;0;0;0;0;0;0;10.9;11;01:39;
11.3;82;8.3;11.3;10.8;13.3;1017.1;0;0;0;0;0;0;0;10.9;10.9;01:40;
11.4;82;8.4;11.4;6.1;10.1;1017.1;0;0;0;0;0;0;0;11;11;01:41;
11.4;81;8.2;11.4;7.9;9.4;1017.1;0;0;0;0;0;0;0;11;11;01:42;
11.4;81;8.2;11.4;3.6;8.6;1017.1;0;0;0;0;0;0;0;10.9;11;01:43;
11.4;81;8.2;11.4;5;11.9;1017.2;0;0;0;0;0;0;0;11;11;01:44;
11.4;81;8.2;11.4;5.4;9.4;1017.2;0;0;0;0;0;0;0;10.9;11;01:45;
11.4;81;8.2;11.4;7.2;12.6;1017.1;0;0;0;0;0;0;0;11;11;01:46;
11.4;81;8.2;11.4;7.6;10.8;1017.2;0;0;0;0;0;0;0;11;11;01:47;
11.4;81;8.2;11.4;2.5;7.2;1017.2;0;0;0;0;0;0;0;11;11;01:48;
11.4;81;8.2;11.4;4.3;11.2;1017.1;0;0;0;0;0;0;0;11;11;01:49;
11.4;81;8.2;11.4;11.5;13.3;1016.9;0;0;0;0;0;0;0;11;11;01:50;
11.4;81;8.2;11.4;9;10.8;1016.9;0;0;0;0;0;0;0;11;11;01:51;
11.4;81;8.2;11.4;6.5;10.4;1017;0;0;0;0;0;0;0;11;11;01:52;
11.4;81;8.2;11.4;9;12.2;1017.1;0;0;0;0;0;0;0;11;11;01:53;
